,Sales,Customers,Year,Month,Day,Store
1,6421,883,2015,1,2,1
2,8004,817,2015,1,2,2
3,7638,958,2015,1,2,3
4,7891,1232,2015,1,2,4
5,7066,817,2015,1,2,5
6,5914,692,2015,1,2,6
7,7160,816,2015,1,2,7
8,6103,733,2015,1,2,8
9,6271,652,2015,1,2,9
10,5971,774,2015,1,2,10
11,6298,825,2015,1,3,1
12,8424,896,2015,1,3,2
13,8493,921,2015,1,3,3
14,10315,1489,2015,1,3,4
15,8370,817,2015,1,3,5
16,8816,950,2015,1,3,6
17,11266,1112,2015,1,3,7
18,7451,756,2015,1,3,8
19,9109,771,2015,1,3,9
20,6869,794,2015,1,3,10
21,6599,795,2015,1,5,1
22,9098,929,2015,1,5,2
23,9102,948,2015,1,5,3
24,9405,1141,2015,1,5,4
25,8062,745,2015,1,5,5
26,6329,663,2015,1,5,6
27,8582,757,2015,1,5,7
28,7808,878,2015,1,5,8
29,7816,664,2015,1,5,9
30,6158,731,2015,1,5,10
31,5241,673,2015,1,6,1
32,7662,853,2015,1,6,2
33,7631,797,2015,1,6,3
34,9407,1347,2015,1,6,4
35,7646,738,2015,1,6,5
36,7091,818,2015,1,6,6
37,10537,1055,2015,1,6,7
38,8625,1044,2015,1,6,8
39,8105,694,2015,1,6,9
40,9912,1224,2015,1,6,10
41,5850,711,2015,1,7,1
42,8647,862,2015,1,7,2
43,8168,852,2015,1,7,3
44,10920,1530,2015,1,7,4
45,8462,867,2015,1,7,5
46,7624,955,2015,1,7,6
47,10698,1043,2015,1,7,7
48,9142,1212,2015,1,7,8
49,8377,738,2015,1,7,9
50,9127,1247,2015,1,7,10
51,5838,748,2015,1,8,1
52,8493,908,2015,1,8,2
53,7809,790,2015,1,8,3
54,10334,1435,2015,1,8,4
55,7989,757,2015,1,8,5
56,6549,764,2015,1,8,6
57,10450,1017,2015,1,8,7
58,9221,1158,2015,1,8,8
59,8878,749,2015,1,8,9
60,10153,1283,2015,1,8,10
61,6604,812,2015,1,9,1
62,8822,971,2015,1,9,2
63,9701,965,2015,1,9,3
64,11772,1566,2015,1,9,4
65,8647,792,2015,1,9,5
66,6803,767,2015,1,9,6
67,11252,1169,2015,1,9,7
68,8440,1027,2015,1,9,8
69,8613,747,2015,1,9,9
70,10569,1369,2015,1,9,10
71,6957,892,2015,1,10,1
72,9328,931,2015,1,10,2
73,9824,1023,2015,1,10,3
74,12222,1598,2015,1,10,4
