,Sales,Customers,Year,Month,Day,Store
1,6205,695,2015,1,2,1
2,8975,886,2015,1,2,2
3,8805,957,2015,1,2,3
4,9297,1437,2015,1,2,4
5,7995,816,2015,1,2,5
6,7665,886,2015,1,2,6
7,10329,1140,2015,1,2,7
8,8038,922,2015,1,2,8
9,8557,752,2015,1,2,9
10,6891,760,2015,1,2,10
11,5935,675,2015,1,3,1
12,8713,910,2015,1,3,2
13,8802,947,2015,1,3,3
14,9795,1442,2015,1,3,4
15,7833,783,2015,1,3,5
16,7529,851,2015,1,3,6
17,10276,1078,2015,1,3,7
18,8333,969,2015,1,3,8
19,8433,716,2015,1,3,9
20,6544,731,2015,1,3,10
21,5784,677,2015,1,5,1
22,8328,829,2015,1,5,2
23,9588,1036,2015,1,5,3
24,10825,1512,2015,1,5,4
25,8136,762,2015,1,5,5
26,8475,926,2015,1,5,6
27,11439,1136,2015,1,5,7
28,8477,875,2015,1,5,8
29,9763,843,2015,1,5,9
30,7434,786,2015,1,5,10
31,6473,731,2015,1,6,1
32,4978,497,2015,1,6,2
33,10110,1142,2015,1,6,3
34,12320,1640,2015,1,6,4
35,5358,452,2015,1,6,5
36,6583,681,2015,1,6,6
37,7878,742,2015,1,6,7
38,6758,663,2015,1,6,8
39,9873,917,2015,1,6,9
40,6487,686,2015,1,6,10
41,7505,947,2015,1,7,1
42,4891,507,2015,1,7,2
43,9728,1183,2015,1,7,3
44,12852,1777,2015,1,7,4
45,4745,465,2015,1,7,5
46,6908,776,2015,1,7,6
47,10462,1072,2015,1,7,7
48,6025,594,2015,1,7,8
49,9974,965,2015,1,7,9
50,6997,817,2015,1,7,10
51,6406,753,2015,1,8,1
52,6118,619,2015,1,8,2
53,9217,1070,2015,1,8,3
54,11895,1677,2015,1,8,4
55,6294,607,2015,1,8,5
56,6267,685,2015,1,8,6
57,11210,1211,2015,1,8,7
58,6200,591,2015,1,8,8
59,9307,871,2015,1,8,9
60,6673,704,2015,1,8,10
61,4095,478,2015,1,9,1
62,3608,363,2015,1,9,2
63,6705,785,2015,1,9,3
64,10759,1505,2015,1,9,4
65,3590,317,2015,1,9,5
66,5116,541,2015,1,9,6
67,8724,1038,2015,1,9,7
68,5566,598,2015,1,9,8
69,8164,756,2015,1,9,9
70,6120,661,2015,1,9,10
71,5566,696,2015,1,10,1
72,7600,854,2015,1,10,2
73,9254,1095,2015,1,10,3
74,12370,1754,2015,1,10,4
75,7169,711,2015,1,10,5
76,6443,707,2015,1,10,6
77,10817,1179,2015,1,10,7
78,6068,584,2015,1,10,8
79,9473,896,2015,1,10,9
80,6942,779,2015,1,10,10
81,5202,632,2015,1,12,1
82,4191,446,2015,1,12,2
83,9055,1103,2015,1,12,3
84,12196,1715,2015,1,12,4
85,4789,514,2015,1,12,5
86,4752,548,2015,1,12,6
87,8255,923,2015,1,12,7
88,5933,598,2015,1,12,8
89,9072,845,2015,1,12,9
90,6255,658,2015,1,12,10
91,6645,864,2015,1,13,1
92,8037,855,2015,1,13,2
93,11281,1270,2015,1,13,3
94,14116,1930,2015,1,13,4
95,2939,350,2015,1,13,5
96,5487,664,2015,1,13,6
97,6911,735,2015,1,13,7
98,4346,508,2015,1,13,8
99,8646,808,2015,1,13,9
100,6215,707,2015,1,13,10
101,5530,681,2015,1,14,1
102,8211,940,2015,1,14,2
103,8306,904,2015,1,14,3
104,11029,1615,2015,1,14,4
105,7523,742,2015,1,14,5
106,7367,858,2015,1,14,6
107,10906,1153,2015,1,14,7
108,7362,797,2015,1,14,8
109,8793,758,2015,1,14,9
110,6241,660,2015,1,14,10
111,5395,687,2015,1,15,1
112,4351,515,2015,1,15,2
113,8531,1099,2015,1,15,3
114,10192,1515,2015,1,15,4
115,7741,781,2015,1,15,5
116,6581,740,2015,1,15,6
117,10984,1231,2015,1,15,7
118,7859,841,2015,1,15,8
119,9238,845,2015,1,15,9
120,6789,753,2015,1,15,10
121,5516,669,2015,1,16,1
122,8240,904,2015,1,16,2
123,9157,1058,2015,1,16,3
124,10180,1507,2015,1,16,4
125,7750,824,2015,1,16,5
126,7083,794,2015,1,16,6
127,10072,1078,2015,1,16,7
128,7448,787,2015,1,16,8
129,8762,786,2015,1,16,9
130,6575,741,2015,1,16,10
131,5726,688,2015,1,17,1
132,8011,802,2015,1,17,2
133,8895,1003,2015,1,17,3
134,12226,1685,2015,1,17,4
135,6437,593,2015,1,17,5
136,7320,815,2015,1,17,6
137,11668,1247,2015,1,17,7
138,7185,678,2015,1,17,8
139,9582,825,2015,1,17,9
140,7293,805,2015,1,17,10
141,5840,635,2015,1,19,1
142,3831,354,2015,1,19,2
143,9027,1030,2015,1,19,3
144,11464,1530,2015,1,19,4
145,4142,356,2015,1,19,5
146,5565,561,2015,1,19,6
147,7293,772,2015,1,19,7
148,5975,597,2015,1,19,8
149,8627,781,2015,1,19,9
150,6077,643,2015,1,19,10
151,5316,631,2015,1,20,1
152,3954,398,2015,1,20,2
153,8363,998,2015,1,20,3
154,12415,1768,2015,1,20,4
155,5317,490,2015,1,20,5
156,7963,899,2015,1,20,6
157,11770,1268,2015,1,20,7
158,6830,705,2015,1,20,8
159,7444,638,2015,1,20,9
160,6712,743,2015,1,20,10
161,4766,601,2015,1,21,1
162,4984,654,2015,1,21,2
163,7967,951,2015,1,21,3
164,11694,1670,2015,1,21,4
165,4536,435,2015,1,21,5
166,6738,751,2015,1,21,6
167,11120,1230,2015,1,21,7
168,5664,603,2015,1,21,8
169,9440,882,2015,1,21,9
170,6872,725,2015,1,21,10
171,4327,523,2015,1,22,1
172,4178,442,2015,1,22,2
173,7409,819,2015,1,22,3
174,11629,1621,2015,1,22,4
175,3688,342,2015,1,22,5
176,5905,641,2015,1,22,6
177,6112,647,2015,1,22,7
178,5609,609,2015,1,22,8
179,8490,790,2015,1,22,9
180,6305,680,2015,1,22,10
181,6697,842,2015,1,23,1
182,4176,512,2015,1,23,2
183,9725,1217,2015,1,23,3
184,13017,1832,2015,1,23,4
185,8083,804,2015,1,23,5
186,7288,846,2015,1,23,6
187,11282,1236,2015,1,23,7
188,8510,930,2015,1,23,8
189,10348,896,2015,1,23,9
190,7456,861,2015,1,23,10
191,4182,462,2015,1,24,1
192,5936,614,2015,1,24,2
193,8739,978,2015,1,24,3
194,11213,1579,2015,1,24,4
195,4466,424,2015,1,24,5
196,5090,520,2015,1,24,6
197,7672,788,2015,1,24,7
198,6240,629,2015,1,24,8
199,8655,779,2015,1,24,9
200,5805,615,2015,1,24,10
201,5371,675,2015,1,26,1
202,3799,456,2015,1,26,2
203,8095,1025,2015,1,26,3
204,10905,1643,2015,1,26,4
205,6656,712,2015,1,26,5
206,6678,789,2015,1,26,6
207,10037,1156,2015,1,26,7
208,6695,764,2015,1,26,8
209,8493,756,2015,1,26,9
210,6170,703,2015,1,26,10
211,5894,754,2015,1,27,1
212,7223,820,2015,1,27,2
213,8580,1083,2015,1,27,3
214,10319,1563,2015,1,27,4
215,7525,809,2015,1,27,5
216,6657,750,2015,1,27,6
217,9987,1102,2015,1,27,7
218,7391,798,2015,1,27,8
219,8996,829,2015,1,27,9
220,6424,729,2015,1,27,10
221,5589,664,2015,1,28,1
222,8019,865,2015,1,28,2
223,8191,900,2015,1,28,3
224,10920,1573,2015,1,28,4
225,4741,436,2015,1,28,5
226,5268,572,2015,1,28,6
227,7479,733,2015,1,28,7
228,5881,596,2015,1,28,8
229,8925,807,2015,1,28,9
230,5841,622,2015,1,28,10
231,4879,582,2015,1,29,1
232,7583,845,2015,1,29,2
233,9354,1075,2015,1,29,3
234,11948,1741,2015,1,29,4
235,6926,738,2015,1,29,5
236,7263,866,2015,1,29,6
237,10222,1123,2015,1,29,7
238,6994,779,2015,1,29,8
239,8518,735,2015,1,29,9
240,6268,703,2015,1,29,10
241,4794,605,2015,1,30,1
242,7557,835,2015,1,30,2
243,8092,939,2015,1,30,3
244,10293,1534,2015,1,30,4
245,6790,727,2015,1,30,5
246,7144,832,2015,1,30,6
247,9380,1014,2015,1,30,7
248,7329,816,2015,1,30,8
249,8023,707,2015,1,30,9
250,6061,676,2015,1,30,10
251,5443,689,2015,1,31,1
252,7535,901,2015,1,31,2
253,8017,942,2015,1,31,3
